Trade #,ID,Portfolio,Symbol,Contract,Asset Type,Direction,Option Type,Strike,Expiry,DTE at Entry,Entry Time (CT),Entry Day,Entry Session,Entry Price,Qty,Entry Cost,Status,Exit Time (CT),Exit Day,Exit Session,Exit Price,Exit Reason,Realized P&L,Realized P&L %,Target,Stop Loss,Hold Time,Created At (CT),Trade Idea ID
28,f9bfae29-7bb0-4db6-8e4f-bc697c58e235,options,META,META260102P00642500,option,long,put,642.5,2026-01-02,0,"2026-01-02 10:15:13 CST",FRI,REGULAR,0.925,1,92.5,closed,"2026-01-02 10:20:00 CST",FRI,REGULAR,1.97,"time_decay: Time exit: 0 DTE with +113% profit - lock it in",104.5,,18.5,0.4625,5m,"2026-01-02 10:15:13 CST",3548ad30-9c29-4f28-929b-386d89a7aeb4
27,74ad78b0-ccdc-4e0b-acdd-5007ac32d0f7,options,CLSK,CLSK260102C00011000,option,long,call,11,2026-01-02,0,"2026-01-02 10:00:33 CST",FRI,REGULAR,0.28,1,28,closed,"2026-01-02 10:05:00 CST",FRI,REGULAR,0.255,"expired",-2.5,-8.928572,5.6,0.14,4m,"2026-01-02 10:00:33 CST",9c01be69-daed-4487-b967-cd043f8ff9d1
26,ffcf13d7-ce15-46e4-9b29-c57fc999c350,options,NFLX,NFLX260102P00091500,option,long,put,91.5,2026-01-02,0,"2026-01-02 10:00:19 CST",FRI,REGULAR,0.375,1,37.5,closed,"2026-01-02 10:05:00 CST",FRI,REGULAR,0.57,"time_decay: Time exit: 0 DTE with +52% profit - lock it in",19.5,,7.5,0.1875,5m,"2026-01-02 10:00:19 CST",c8462faf-0e31-4b7a-9ac8-ae98c723a27b
25,fc069e32-ef18-48d8-a7e9-b7513233656d,options,META,META260102P00652500,option,short,put,652.5,2026-01-02,0,"2026-01-02 09:45:13 CST",FRI,REGULAR,0.705,1,70.5,closed,"2026-01-02 09:50:00 CST",FRI,REGULAR,1.26,"time_decay: Time exit: 0 DTE with +79% profit - lock it in",55.5,,14.1,0.3525,5m,"2026-01-02 09:45:13 CST",a20d864c-ff5b-4f75-81e7-ba5f8ad27272
24,be7b2fbb-6704-49fc-a1f2-0c5fa16599b0,options,HOOD,HOOD260102P00110000,option,short,put,110,2026-01-02,0,"2026-01-02 09:30:15 CST",FRI,REGULAR,0.325,1,32.5,closed,"2026-01-02 09:35:00 CST",FRI,REGULAR,0.13,"expired",19.5,60,6.5,0.1625,5m,"2026-01-02 09:30:15 CST",718cacbc-0d15-43f0-a39f-dae5210da2ce
23,40132588-c070-43fc-a478-3a711eea3623,options,NFLX,NFLX260102P00091500,option,short,put,91.5,2026-01-02,0,"2026-01-02 09:15:17 CST",FRI,REGULAR,0.26,1,26,closed,"2026-01-02 09:20:00 CST",FRI,REGULAR,0.22,"expired",4,15.384615,5.2,0.13,5m,"2026-01-02 09:15:17 CST",23c2446a-cdf8-4f77-9180-63c57bbd4d1d
22,e93e3e99-5054-4b46-b99a-64874c2db80c,options,GOOGL,GOOGL260102C00325000,option,long,call,325,2026-01-02,0,"2026-01-02 08:45:29 CST",FRI,REGULAR,0.205,2,41,closed,"2026-01-02 08:50:00 CST",FRI,REGULAR,0.3,"time_decay: Time exit: 0 DTE with +46% profit - lock it in",19,,4.1,0.1025,5m,"2026-01-02 08:45:29 CST",cff12752-5ad3-4219-ba0a-0a04e30a408b
21,1432ae4d-316d-4b6a-bf50-fd8e7e24f3fd,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 14:00:14 CST",THU,POWER-HOUR,0.62,1,62,closed,"2026-01-02 08:35:00 CST",FRI,REGULAR,0.625,"time_decay: 0DTE exit: Expiring today with +1% profit",0.5,,12.4,0.31,18h 35m,"2026-01-01 14:00:14 CST",87cbc6bb-db75-4848-8e29-6ee500cbe878
20,08eebea0-66d7-41fd-ad14-f9bad4cc3f8c,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 13:45:14 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 13:50:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 13:45:14 CST",084b9489-58a0-4ee1-ad22-ae30d84c5b95
19,43b8af89-d186-403f-b191-fc9781deef61,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 13:30:13 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 13:35:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 13:30:13 CST",552a718c-4f6d-4632-a7ff-09acf477d1ea
